Metric,Value
Mean MAE,0.08919651688759146
Std MAE,0.05543993369428712
Mean RMSE,0.23827015964774928
Std RMSE,0.10481070118699133
Mean R2,0.9518633125647907
Std R2,0.03433846050606182
Minimum R2,0.8798048890608875
Maximum R2,0.991814773716275
