Model,Mean_MAE,Std_MAE,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2
Random Forest,0.06765135135135136,0.029488080787500412,0.2079884183290897,0.0687507969115942,0.961225699093978,0.031427057796378825
Ridge Regression,0.17307726682343472,0.04099810449478846,0.2856291334945262,0.04445490412592627,0.9324886660766089,0.030023049575057012
Linear Regression,0.17532807185664387,0.04372339838623492,0.30605160635097894,0.058429362505577565,0.921382100605193,0.03679632865822783
Dummy Regressor,1.0673274277622105,0.1286276125561253,1.2209767449876427,0.12761685705649572,-0.15652664409747746,0.09462990089065856
