Model,Validation Strategy,Mean_MAE,Std_MAE,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2
Dummy Regressor,Group-Aware 5-Fold CV,1.045080418210853,0.08088944122204722,1.1989470136391733,0.06963192571719895,-0.02565736956311202,0.031917332722718156
Dummy Regressor,Random 5-Fold CV,1.0418570008135226,0.05045863920017811,1.1963501605847946,0.042968453602761,-0.007928617915188462,0.010894885015032439
Linear Regression,Group-Aware 5-Fold CV,0.1958698280131163,0.02083660159772515,0.324991941101662,0.05084319362968134,0.9233017349829875,0.020602831782523316
Linear Regression,Random 5-Fold CV,0.1538438907451663,0.017588316319264254,0.2658475236199642,0.04214919402570453,0.9491390875585927,0.016209292126659287
Random Forest,Group-Aware 5-Fold CV,0.06881207207207206,0.02860695502533896,0.2175854130819272,0.10118538253661191,0.9627621436179977,0.029807325563662175
Random Forest,Random 5-Fold CV,0.04316990990990992,0.02056409941439852,0.1477567966105001,0.06164613352606631,0.9820365465689209,0.014597825408329516
Ridge Regression,Group-Aware 5-Fold CV,0.19275243906978426,0.018732040346502554,0.30601245935939925,0.04010196105223118,0.9328190467542481,0.01287926201341384
Ridge Regression,Random 5-Fold CV,0.15762709854404347,0.015823860834910008,0.25810550055707226,0.03599706651830269,0.9521674807129248,0.014192866810769797
